City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Gizo,SB,25.34,light rain,-8.103,156.8419,Gizo Hotel
Oranjestad,AW,25.99,few clouds,12.524,-70.027,Hotel California
Praya,CV,27.3,clear sky,14.9215,-23.5087,Casa Sodadi
Saint-Pierre,RE,27.82,broken clouds,-21.3393,55.4781,Tropic Hotel
Buraydah,SA,20.71,overcast clouds,26.326,43.975,دنا للوحدات السكنية
Cayenne,GF,23.02,very heavy rain,4.9333,-52.3333,Central Hôtel
Diffa,NE,25.66,clear sky,13.3154,12.6113,UNHCR guest house
Tarakan,ID,27.33,overcast clouds,3.3,117.6333,Hotel Dynasty
Port-Gentil,GA,27.98,thunderstorm,-0.7193,8.7815,Tara-Mé
Bluefields,NI,26.12,scattered clouds,12.0137,-83.7635,Hotel Isleño
Ambulu,ID,24.78,overcast clouds,-8.345,113.6058,Hotel Ambulu
Isangel,VU,25.48,few clouds,-19.55,169.2667,Tanna Lodge
Jambi,ID,23.54,overcast clouds,-1.6,103.6167,Hotel Odua Weston Jambi
Villeta,CO,29.34,overcast clouds,5.0089,-74.4723,Hotel Mediterraneo
