,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,25.28,75,8,5.26,clear sky
1,Tuktoyaktuk,CA,69.4541,-133.0374,-20.0,77,100,1.03,light snow
2,Patacamaya,BO,-17.2333,-67.9167,15.05,12,0,2.22,clear sky
3,Schleswig,DE,54.5167,9.55,6.01,95,100,9.26,heavy intensity rain
4,Ushuaia,AR,-54.8,-68.3,9.81,57,75,5.14,broken clouds
5,Mujiayingzi,CN,42.1167,118.7833,-15.04,33,0,4.44,clear sky
6,Hermanus,ZA,-34.4187,19.2345,24.89,68,9,7.1,clear sky
7,Codrington,AU,-38.2667,141.9667,15.56,77,85,7.58,overcast clouds
8,Jamestown,US,42.097,-79.2353,-6.66,97,100,4.47,mist
9,Kapaa,US,22.0752,-159.319,18.99,82,0,2.57,clear sky
10,Hilo,US,19.7297,-155.09,20.14,76,100,4.63,overcast clouds
11,Lebu,CL,-37.6167,-73.65,16.12,66,100,7.14,overcast clouds
12,Busselton,AU,-33.65,115.3333,16.83,52,2,7.62,clear sky
13,Bosobolo,CD,4.1833,19.9,33.47,22,32,1.11,scattered clouds
14,Albany,US,42.6001,-73.9662,-2.29,78,66,1.34,broken clouds
15,Toktogul,KG,41.8708,72.9402,-14.81,61,0,1.18,clear sky
16,Castro,BR,-24.7911,-50.0119,20.89,86,99,2.7,overcast clouds
17,Torbay,CA,47.6666,-52.7314,12.43,89,100,13.89,light rain
18,Narsaq,GL,60.9167,-46.05,-8.88,83,100,2.46,overcast clouds
19,Upernavik,GL,72.7868,-56.1549,-16.96,65,100,2.09,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,8.82,99,17,1.06,few clouds
21,Butaritari,KI,3.0707,172.7902,26.77,79,100,5.26,light rain
22,Saldanha,ZA,-33.0117,17.9442,25.03,77,19,12.77,few clouds
23,Vaini,TO,-21.2,-175.2,25.09,100,20,0.51,light rain
24,Georgetown,MY,5.4112,100.3354,27.96,92,20,1.54,few clouds
25,Sorong,ID,-0.8833,131.25,27.14,79,100,1.31,overcast clouds
26,Popondetta,PG,-8.7537,148.2534,23.37,97,100,1.39,light rain
27,Okhotsk,RU,59.3833,143.3,-34.77,86,86,4.7,overcast clouds
28,Avarua,CK,-21.2078,-159.775,19.03,100,75,0.51,broken clouds
29,Eureka,US,40.8021,-124.1637,10.66,94,100,1.34,overcast clouds
30,Airai,TL,-8.9266,125.4092,16.23,86,100,0.68,overcast clouds
31,Atuona,PF,-9.8,-139.0333,25.39,75,97,4.44,overcast clouds
32,Luau,AO,-10.7073,22.2247,21.58,90,95,1.82,light rain
33,Lompoc,US,34.6391,-120.4579,14.18,96,100,3.6,mist
34,Provideniya,RU,64.3833,-173.3,-17.0,95,80,5.46,broken clouds
35,Smithers,CA,54.7804,-127.1743,0.18,100,100,0.0,overcast clouds
36,Hobart,AU,-42.8794,147.3294,19.92,77,60,3.6,broken clouds
37,Qaanaaq,GL,77.484,-69.3632,-16.42,68,100,3.69,overcast clouds
38,Tongzhou,CN,39.9053,116.5994,-6.94,27,0,6.0,clear sky
39,Berlevag,NO,70.8578,29.0864,-3.03,74,40,1.54,scattered clouds
40,Esperance,AU,-33.8667,121.9,14.15,70,2,4.87,clear sky
41,Bluff,NZ,-46.6,168.3333,11.22,82,9,2.23,clear sky
42,Hithadhoo,MV,-0.6,73.0833,27.03,66,37,5.78,scattered clouds
43,Havoysund,NO,70.9963,24.6622,-0.87,67,100,11.42,light snow
44,Luderitz,NA,-26.6481,15.1594,23.03,62,0,12.16,clear sky
45,Luanda,AO,-8.8368,13.2343,30.0,66,20,5.66,few clouds
46,Panaba,MX,21.2833,-88.2667,21.42,50,79,4.77,broken clouds
47,Tasiilaq,GL,65.6145,-37.6368,-10.84,55,100,8.87,overcast clouds
48,Nador,MA,35.174,-2.9287,19.04,67,0,2.06,clear sky
49,Geraldton,AU,-28.7667,114.6,22.23,78,0,6.69,clear sky
50,Hasaki,JP,35.7333,140.8333,8.22,78,99,10.58,overcast clouds
51,Rivadavia,AR,-33.1905,-68.4608,32.69,18,2,6.6,clear sky
52,Padang,ID,-0.9492,100.3543,25.03,87,100,1.01,light rain
53,Carnarvon,AU,-24.8667,113.6333,24.25,78,0,11.08,clear sky
54,Kindu,CD,-2.95,25.95,24.27,85,72,0.52,light rain
55,Camopi,GF,3.1655,-52.3158,24.31,96,100,1.31,overcast clouds
56,Tuatapere,NZ,-46.1333,167.6833,10.26,86,7,1.53,clear sky
57,Tocopilla,CL,-22.092,-70.1979,22.65,68,2,2.84,clear sky
58,Dikson,RU,73.5069,80.5464,-36.93,93,17,1.93,few clouds
59,Dawlatabad,AF,36.4141,64.9053,-16.31,97,12,1.04,few clouds
60,Mackay,AU,-21.15,149.2,22.6,90,100,8.96,light rain
61,Tiksi,RU,71.6872,128.8694,-37.96,97,96,1.88,overcast clouds
62,Faanui,PF,-16.4833,-151.75,24.68,86,100,4.56,moderate rain
