,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
84,Caloundra,AU,2023-01-10 21:48:37,-26.8,153.1333,76.89,73,29,5.99
85,Kushiro,JP,2023-01-10 21:48:38,42.975,144.3747,19.74,67,2,3.47
86,Ginda,IN,2023-01-10 21:48:38,30.6945,78.4932,49.8,19,72,5.19
87,Jeremie,HT,2023-01-10 21:48:39,18.65,-74.1167,78.51,75,12,6.85
88,Saint-Philippe,RE,2023-01-10 21:48:39,-21.3585,55.7679,74.79,80,26,10.27
89,Faya,SA,2023-01-10 21:48:39,18.3851,42.4509,51.91,79,0,3.62
90,Airai,TL,2023-01-10 21:48:39,-8.9266,125.4092,59.81,91,42,1.01
91,Khanpur,PK,2023-01-10 21:48:40,28.6453,70.6567,60.31,26,99,6.42
92,Prince Rupert,CA,2023-01-10 21:47:38,54.3161,-130.3201,48.29,65,100,18.41
93,Mount Isa,AU,2023-01-10 21:49:40,-20.7333,139.5,74.97,100,99,8.05
94,Sorland,NO,2023-01-10 21:49:41,67.667,12.6934,40.86,88,100,21.05
95,Nome,US,2023-01-10 21:48:13,64.5011,-165.4064,8.67,66,0,12.66
96,Yulara,AU,2023-01-10 21:49:41,-25.2406,130.9889,78.33,58,2,5.06
97,Puerto Ayora,EC,2023-01-10 21:49:41,-0.7393,-90.3518,76.55,86,22,4.0
98,Porto Belo,BR,2023-01-10 21:49:42,-27.1578,-48.5531,79.16,85,55,10.71
99,Severo-Kurilsk,RU,2023-01-10 21:49:42,50.6789,156.125,22.21,59,46,20.18
100,Abu Zabad,SD,2023-01-10 21:49:42,12.35,29.25,63.27,24,86,13.89
101,Pucallpa,PE,2023-01-10 21:49:43,-8.3791,-74.5539,93.24,52,40,6.91
102,Soritor,PE,2023-01-10 21:49:43,-6.1392,-77.1039,74.37,93,75,1.28
103,Nikolskoye,RU,2023-01-10 21:49:43,59.7035,30.7861,28.29,89,100,13.62
104,Tuatapere,NZ,2023-01-10 21:49:43,-46.1333,167.6833,55.4,85,99,7.61
105,Bluff,NZ,2023-01-10 21:49:44,-46.6,168.3333,55.8,74,90,12.95
106,Ca Mau,VN,2023-01-10 21:49:44,9.1769,105.15,73.08,95,95,5.26
107,Rikitea,PF,2023-01-10 21:49:45,-23.1203,-134.9692,78.69,76,17,18.07
108,Houma,US,2023-01-10 21:49:45,29.5958,-90.7195,73.0,75,80,7.0
109,Narsaq,GL,2023-01-10 21:49:45,60.9167,-46.05,25.02,71,100,6.76
110,Copiapo,CL,2023-01-10 21:49:46,-27.3667,-70.3333,67.69,38,0,7.29
111,Klaksvik,FO,2023-01-10 21:49:46,62.2266,-6.589,40.12,83,100,18.59
112,Iquitos,PE,2023-01-10 21:49:46,-3.7481,-73.2472,75.24,83,75,2.3
113,Port Blair,IN,2023-01-10 21:49:47,11.6667,92.75,75.69,78,76,8.88
114,Dikson,RU,2023-01-10 21:49:47,73.5069,80.5464,-32.46,99,28,5.66
115,Port Alfred,ZA,2023-01-10 21:49:47,-33.5906,26.891,72.18,97,74,3.13
116,Pangnirtung,CA,2023-01-10 21:49:47,66.1451,-65.7125,-18.4,76,75,0.0
117,Miyako,JP,2023-01-10 21:49:48,39.6367,141.9525,31.53,67,58,5.3
118,Namanyere,TZ,2023-01-10 21:49:48,-7.5167,31.05,59.63,95,100,2.98
119,Tynda,RU,2023-01-10 21:49:48,55.1667,124.7167,-7.73,98,100,2.04
120,Khromtau,KZ,2023-01-10 21:49:49,50.2503,58.4347,-18.38,80,2,5.59
121,Kahului,US,2023-01-10 21:49:49,20.8947,-156.47,80.62,61,20,6.91
122,Tonj,SS,2023-01-10 21:49:49,7.2737,28.6822,75.54,26,18,5.28
123,Auki,SB,2023-01-10 21:49:50,-8.7676,160.7034,81.7,73,99,6.2
124,Andenes,NO,2023-01-10 21:49:50,69.3143,16.1194,35.58,80,75,10.36
125,Hobyo,SO,2023-01-10 21:49:50,5.3505,48.5268,76.59,74,14,14.58
126,Dehloran,IR,2023-01-10 21:49:51,32.6941,47.2679,52.39,66,5,0.87
127,Torbay,CA,2023-01-10 21:49:51,47.6666,-52.7314,26.58,91,100,13.8
128,Isangel,VU,2023-01-10 21:49:51,-19.55,169.2667,80.47,67,44,6.85
129,Saint Andrews,US,2023-01-10 21:49:52,34.0454,-81.1293,62.69,39,20,10.36
130,Odesskoye,RU,2023-01-10 21:49:52,54.2111,72.9651,-7.67,98,100,10.16
131,Ipixuna,BR,2023-01-10 21:49:52,-1.7625,-48.8043,74.91,93,27,2.53
132,Ketchikan,US,2023-01-10 21:49:53,55.3422,-131.6461,41.47,87,100,5.75
133,Saskylakh,RU,2023-01-10 21:49:53,71.9167,114.0833,-52.89,100,77,3.91
134,Atar,MR,2023-01-10 21:49:53,20.5169,-13.0499,72.59,10,96,20.11
135,Effium,NG,2023-01-10 21:49:54,6.6292,8.0593,78.3,18,52,3.6
136,Saint Anthony,US,2023-01-10 21:49:54,45.0205,-93.218,31.98,91,100,1.01
137,Talnakh,RU,2023-01-10 21:49:54,69.4865,88.3972,-27.8,97,100,7.07
138,Bandarbeyla,SO,2023-01-10 21:49:54,9.4942,50.8122,75.9,74,15,11.25
139,Flinders,AU,2023-01-10 21:50:55,-34.5833,150.8552,70.18,77,74,5.99
140,Broome,US,2023-01-10 21:50:55,42.2506,-75.833,34.7,79,100,8.05
141,Noumea,NC,2023-01-10 21:50:55,-22.2763,166.4572,81.0,99,47,9.28
142,Dogondoutchi,NE,2023-01-10 21:50:56,13.6393,4.0287,69.3,18,13,10.38
143,Kungurtug,RU,2023-01-10 21:50:56,50.5994,97.5228,10.94,97,100,0.96
144,Hamilton,US,2023-01-10 21:49:16,39.1834,-84.5333,52.43,62,0,11.5
145,Canutama,BR,2023-01-10 21:50:56,-6.5339,-64.3831,82.47,72,26,2.98
146,Paamiut,GL,2023-01-10 21:50:57,61.994,-49.6678,21.58,68,100,6.51
147,Yenagoa,NG,2023-01-10 21:50:57,4.9247,6.2642,77.99,81,100,5.08
148,Voh,NC,2023-01-10 21:50:57,-20.9667,164.7,80.56,55,92,3.78
149,Naze,JP,2023-01-10 21:50:57,28.3667,129.4833,61.72,58,90,9.89
150,Luena,AO,2023-01-10 21:50:58,-11.7833,19.9167,62.44,97,100,1.88
151,Omboue,GA,2023-01-10 21:50:58,-1.5746,9.2618,78.57,82,43,5.95
152,Cidreira,BR,2023-01-10 21:50:58,-30.1811,-50.2056,72.52,78,85,1.54
153,Songea,TZ,2023-01-10 21:50:59,-10.6833,35.65,62.49,94,87,1.32
154,Hvide Sande,DK,2023-01-10 21:50:59,56.0045,8.1294,42.1,92,100,38.95
155,Senador Pompeu,BR,2023-01-10 21:50:59,-5.5881,-39.3717,80.92,53,80,3.53
156,Beringovskiy,RU,2023-01-10 21:51:00,63.05,179.3167,-8.59,93,61,10.29
157,Luau,AO,2023-01-10 21:51:00,-10.7073,22.2247,65.39,95,100,2.48
158,Ylivieska,FI,2023-01-10 21:51:00,64.0833,24.55,16.88,96,100,5.1
159,Thinadhoo,MV,2023-01-10 21:51:01,0.5333,72.9333,81.75,72,91,10.8
160,Trairi,BR,2023-01-10 21:47:57,-3.2778,-39.2689,79.66,71,27,10.0
161,Carbonia,IT,2023-01-10 21:51:01,39.1672,8.5222,48.0,69,13,11.99
162,Mareeba,AU,2023-01-10 21:51:01,-17.0,145.4333,75.92,97,100,1.57
163,Shahreza,IR,2023-01-10 21:51:02,32.0339,51.8794,28.42,96,99,4.45
164,Kondol,RU,2023-01-10 21:51:02,52.8189,45.058,-7.74,85,2,6.49
165,Norman Wells,CA,2023-01-10 21:51:03,65.282,-126.8329,3.24,85,100,3.44
166,Tuktoyaktuk,CA,2023-01-10 21:51:03,69.4541,-133.0374,-27.4,68,20,6.91
167,Mahebourg,MU,2023-01-10 21:51:04,-20.4081,57.7,78.26,88,75,13.8
168,Warmbad,NA,2023-01-10 21:51:04,-28.45,18.7333,82.53,26,22,10.63
169,Linden,GY,2023-01-10 21:51:04,6.0,-58.3,73.65,98,74,3.78
170,Canandaigua,US,2023-01-10 21:51:04,42.8742,-77.288,30.13,81,100,1.99
171,Charlestown,AU,2023-01-10 21:51:05,-32.95,151.6667,74.68,77,99,3.0
172,Maumere,ID,2023-01-10 21:51:05,-8.6199,122.2111,78.08,76,87,1.92
173,Kutum,SD,2023-01-10 21:51:06,14.2,24.6667,54.16,33,22,10.2
174,Emet,TR,2023-01-10 21:51:06,39.343,29.2585,46.62,66,94,18.21
175,Lebu,CL,2023-01-10 21:51:07,-37.6167,-73.65,58.68,68,0,20.09
176,San Cosme Y Damian,PY,2023-01-10 21:51:07,-27.3167,-56.35,95.18,32,53,3.91
177,Santa Rosa,PH,2023-01-10 21:51:07,14.3122,121.1114,76.98,93,89,8.88
178,Avarua,CK,2023-01-10 21:46:46,-21.2078,-159.775,78.85,94,100,18.41
179,Shache,CN,2023-01-10 21:51:08,38.4167,77.2406,23.86,44,56,2.66
180,Cherskiy,RU,2023-01-10 21:51:08,68.75,161.3,-25.2,99,100,3.02
181,Filingue,NE,2023-01-10 21:51:08,14.3521,3.3168,70.34,17,5,10.65
182,Glenwood Springs,US,2023-01-10 21:52:09,39.5505,-107.3248,44.4,82,100,4.61
183,Jonkoping,SE,2023-01-10 21:52:09,57.7814,14.1562,41.38,100,75,10.36
184,Panguna,PG,2023-01-10 21:52:09,-6.3164,155.4848,75.2,81,99,0.4
185,Esperance,AU,2023-01-10 21:52:10,-33.8667,121.9,68.36,79,3,13.67
186,Floro,NO,2023-01-10 21:52:10,61.5996,5.0328,44.56,70,100,20.71
187,Manono,CD,2023-01-10 21:52:11,-7.3,27.4167,68.9,92,99,1.83
188,Bilma,NE,2023-01-10 21:52:11,18.6853,12.9164,59.27,28,5,7.25
189,Tateyama,JP,2023-01-10 21:52:11,34.9833,139.8667,42.1,54,51,7.14
190,Trincomalee,LK,2023-01-10 21:52:12,8.5711,81.2335,75.79,69,36,9.42
191,Shenjiamen,CN,2023-01-10 21:52:12,29.9576,122.298,52.12,80,100,3.91
192,Saint-Georges,GD,2023-01-10 21:52:12,12.0564,-61.7485,82.08,74,20,12.66
193,Kholtoson,RU,2023-01-10 21:52:13,50.2981,103.3097,7.36,92,92,3.49
194,Murray,US,2023-01-10 21:52:13,40.6669,-111.888,47.91,77,40,18.41
195,Diego De Almagro,CL,2023-01-10 21:52:13,-26.3667,-70.05,76.75,25,0,11.16
196,Ancud,CL,2023-01-10 21:52:14,-41.8697,-73.8203,56.16,58,19,13.22
197,Sabang,ID,2023-01-10 21:52:14,5.8933,95.3214,78.67,70,25,3.87
198,Karratha,AU,2023-01-10 21:52:15,-20.7377,116.8463,79.88,69,0,15.32
199,Goroka,PG,2023-01-10 21:52:15,-6.0834,145.3873,64.71,89,98,2.13
200,Faanui,PF,2023-01-10 21:52:15,-16.4833,-151.75,78.84,79,100,9.93
201,Havre-Saint-Pierre,CA,2023-01-10 21:48:56,50.2334,-63.5986,15.8,52,0,11.5
202,Deputatskiy,RU,2023-01-10 21:52:16,69.3,139.9,-46.61,99,44,1.48
203,Sao Joao Da Barra,BR,2023-01-10 21:52:16,-21.6403,-41.0511,80.69,92,100,10.04
204,Likasi,CD,2023-01-10 21:52:17,-10.9814,26.7333,60.67,97,97,2.21
205,Yar-Sale,RU,2023-01-10 21:52:17,66.8333,70.8333,-44.01,100,50,0.92
206,Hualmay,PE,2023-01-10 21:52:17,-11.0964,-77.6139,72.64,70,71,8.43
207,Qingdao,CN,2023-01-10 21:52:18,36.0986,120.3719,24.4,100,2,2.24
208,Port Elizabeth,ZA,2023-01-10 21:52:18,-33.918,25.5701,71.31,90,75,9.22
209,Cervia,IT,2023-01-10 21:52:18,44.2657,12.3427,49.69,58,0,8.05
210,Bulgan,MN,2023-01-10 21:52:19,48.8125,103.5347,11.62,78,28,4.63
211,Leningradskiy,RU,2023-01-10 21:52:19,69.3833,178.4167,-20.18,97,39,9.24
212,Tura,IN,2023-01-10 21:52:19,25.5198,90.2201,55.29,56,0,3.22
213,Sola,VU,2023-01-10 21:52:20,-13.8833,167.55,78.58,86,100,17.18
214,Marsa Matruh,EG,2023-01-10 21:52:20,31.3525,27.2453,57.4,62,0,11.5
215,Walvis Bay,NA,2023-01-10 21:52:20,-22.9575,14.5053,66.09,77,100,5.75
216,Sheridan,US,2023-01-10 21:52:20,44.8333,-106.9173,46.78,39,0,5.75
217,Stromness,GB,2023-01-10 21:52:21,58.965,-3.296,44.87,90,100,15.01
218,Huesca,ES,2023-01-10 21:52:21,42.1362,-0.4087,39.88,87,0,3.44
219,Ust-Ilimsk,RU,2023-01-10 21:52:21,58.0006,102.6619,-17.57,89,100,8.59
220,Foam Lake,CA,2023-01-10 21:52:22,51.65,-103.5343,8.62,97,95,4.25
221,Kidal,ML,2023-01-10 21:52:22,18.4411,1.4078,61.27,18,12,11.65
222,Alta Floresta,BR,2023-01-10 21:52:23,-9.8756,-56.0861,70.23,98,100,1.54
223,Luderitz,NA,2023-01-10 21:52:23,-26.6481,15.1594,65.48,76,100,7.14
224,Mathbaria,BD,2023-01-10 21:52:23,22.2876,89.9593,58.12,47,0,5.91
225,Kuito,AO,2023-01-10 21:52:25,-12.3833,16.9333,61.16,92,100,2.21
226,Romitan,UZ,2023-01-10 21:52:25,39.9343,64.3814,10.35,72,0,13.8
227,Horn Lake,US,2023-01-10 21:52:25,34.9554,-90.0348,62.04,77,75,14.97
228,Arroyo,ES,2023-01-10 21:53:26,41.6096,-4.7969,49.59,91,100,5.75
229,Sinnamary,GF,2023-01-10 21:53:26,5.3833,-52.95,76.35,88,74,11.97
230,Imbituba,BR,2023-01-10 21:51:25,-28.24,-48.6703,74.57,86,80,13.02
231,Pemberton,CA,2023-01-10 21:53:27,50.3164,-122.8027,40.69,90,100,0.85
232,Iskitim,RU,2023-01-10 21:53:27,54.6366,83.3045,-21.71,98,100,7.02
233,Morant Bay,JM,2023-01-10 21:53:27,17.8815,-76.4093,83.82,74,8,7.18
234,Odweyne,SO,2023-01-10 21:53:28,9.4092,45.064,68.31,53,0,1.79
235,Ternate,ID,2023-01-10 21:53:28,0.8,127.4,79.63,82,100,8.23
236,Hithadhoo,MV,2023-01-10 21:53:29,-0.6,73.0833,80.91,77,100,13.06
237,Hai Duong,VN,2023-01-10 21:53:30,20.9333,106.3167,64.4,90,100,2.15
238,San Carlos De Bariloche,AR,2023-01-10 21:53:30,-41.1456,-71.3082,57.24,30,20,27.63
239,San Cristobal,VE,2023-01-10 21:53:30,7.7669,-72.225,75.38,78,99,0.92
240,Los Llanos De Aridane,ES,2023-01-10 21:53:30,28.6585,-17.9182,62.35,91,100,9.22
241,Bosaso,SO,2023-01-10 21:53:31,11.2842,49.1816,75.27,77,19,5.48
242,Okhotsk,RU,2023-01-10 21:53:31,59.3833,143.3,-26.28,80,6,7.02
243,Coquimbo,CL,2023-01-10 21:53:17,-29.9533,-71.3436,71.33,64,0,11.5
244,Svetlogorsk,BY,2023-01-10 21:53:31,52.6333,29.7333,21.13,94,100,15.17
245,Bethel,US,2023-01-10 21:53:32,41.3712,-73.414,40.5,69,96,1.01
246,Matara,LK,2023-01-10 21:53:32,5.9485,80.5353,71.38,90,14,6.31
247,Broken Hill,AU,2023-01-10 21:53:32,-31.95,141.4333,84.56,19,98,7.31
248,Shieli,KZ,2023-01-10 21:53:32,44.1667,66.75,11.01,49,58,11.79
249,Kloulklubed,PW,2023-01-10 21:53:33,7.0419,134.2556,83.05,76,99,16.31
250,Ilulissat,GL,2023-01-10 21:53:33,69.2167,-51.1,-7.98,99,100,3.69
251,Sabla,NG,2023-01-10 21:53:33,12.7525,4.7077,70.07,20,97,10.74
252,Praia Da Vitoria,PT,2023-01-10 21:53:34,38.7333,-27.0667,53.85,87,0,3.31
253,Constitucion,CL,2023-01-10 21:53:34,-35.3333,-72.4167,65.64,58,43,18.9
254,Port Hawkesbury,CA,2023-01-10 21:53:34,45.6169,-61.3485,28.78,90,100,15.99
255,Clyde River,CA,2023-01-10 21:53:35,70.4692,-68.5914,-23.57,76,0,5.75
256,Kedougou,SN,2023-01-10 21:53:35,12.5579,-12.1743,84.78,20,0,2.3
257,Havelock,US,2023-01-10 21:53:35,34.8791,-76.9013,57.18,62,93,5.19
258,Marzuq,YE,2023-01-10 21:53:36,14.4,46.4667,62.73,63,13,4.23
259,Thompson,CA,2023-01-10 21:53:36,55.7435,-97.8558,10.56,85,100,3.44
260,Oga,IT,2023-01-10 21:53:36,46.4631,10.347,29.03,50,23,3.96
261,Portland,US,2023-01-10 21:50:57,45.5234,-122.6762,54.18,66,75,16.11
262,Toccoa,US,2023-01-10 21:52:16,34.5773,-83.3324,60.44,27,0,9.22
263,Nemuro,JP,2023-01-10 21:53:37,43.3236,145.575,23.38,71,50,15.79
264,Coihaique,CL,2023-01-10 21:53:37,-45.5752,-72.0662,50.61,97,100,1.7
265,Mehamn,NO,2023-01-10 21:53:37,71.0357,27.8492,22.91,86,0,14.97
266,Vila Velha,BR,2023-01-10 21:53:38,-20.3297,-40.2925,80.55,84,20,10.36
267,Lata,PT,2023-01-10 21:53:38,40.1629,-8.3327,55.92,92,99,4.79
268,Bournemouth,GB,2023-01-10 21:53:38,50.7205,-1.8795,53.87,92,100,5.99
269,Myitkyina,MM,2023-01-10 21:53:38,25.3833,97.4,53.19,73,0,2.39
270,The Valley,AI,2023-01-10 21:53:39,18.217,-63.0578,80.74,69,20,9.22
271,Mashhad,IR,2023-01-10 21:53:39,36.297,59.6062,15.94,100,100,9.22
272,Paris,FR,2023-01-10 21:50:27,48.8534,2.3488,54.21,93,100,17.27
273,Opuwo,NA,2023-01-10 21:53:39,-18.0607,13.84,70.52,42,86,7.14
274,Moron,AR,2023-01-10 21:54:40,-34.6534,-58.6198,94.05,72,53,15.61
275,Pevek,RU,2023-01-10 21:54:40,69.7008,170.3133,-10.71,96,100,2.66
276,Sangar,RU,2023-01-10 21:54:40,63.9242,127.4739,-17.55,98,100,5.17
277,Provideniya,RU,2023-01-10 21:54:41,64.3833,-173.3,12.31,57,0,17.9
278,Acapulco,MX,2023-01-10 21:54:41,16.8634,-99.8901,82.9,60,1,8.77
279,Promyshlennaya,RU,2023-01-10 21:54:41,54.9159,85.6385,-17.45,93,100,8.28
280,Margate,GB,2023-01-10 21:54:41,51.3813,1.3862,53.11,92,100,10.0
281,Maneadero,MX,2023-01-10 21:54:42,31.7167,-116.5667,61.11,81,100,1.99
282,Gore,NZ,2023-01-10 21:54:42,-46.1028,168.9436,54.63,98,100,4.59
283,Bathsheba,BB,2023-01-10 21:54:42,13.2167,-59.5167,79.41,78,75,13.8
284,Zarate,AR,2023-01-10 21:50:50,-34.0981,-59.0286,94.03,34,64,8.01
285,Maarianhamina,AX,2023-01-10 21:54:43,60.0973,19.9348,39.06,87,100,10.36
286,Preobrazheniye,RU,2023-01-10 21:54:43,42.9019,133.9064,23.45,84,11,7.96
287,Mehran,IR,2023-01-10 21:54:43,33.1222,46.1646,49.24,63,0,4.12
288,Puerto Penasco,MX,2023-01-10 21:54:44,31.3167,-113.5333,65.84,45,25,6.78
289,Longyearbyen,SJ,2023-01-10 21:54:44,78.2186,15.6401,31.84,80,75,9.22
290,Santa Isabel Do Rio Negro,BR,2023-01-10 21:54:44,-0.4139,-65.0192,77.22,95,81,2.55
291,Bissau,GW,2023-01-10 21:54:45,11.8636,-15.5977,77.94,49,99,7.47
292,Nerang,AU,2023-01-10 21:54:45,-27.9833,153.3333,78.93,81,99,3.0
293,Ambovombe,MG,2023-01-10 21:54:46,-25.1667,46.0833,72.75,90,94,4.41
294,Lorengau,PG,2023-01-10 21:54:46,-2.0226,147.2712,81.84,78,79,2.98
295,Leh,IN,2023-01-10 21:54:46,34.1667,77.5833,17.6,64,100,5.75
